num_layers,test_accuracy
1,0.8515625
2,0.8359375
3,0.921875
4,0.9375
5,0.953125
6,0.9375
7,0.9296875
8,0.921875
9,0.9375
10,0.9296875
11,0.921875
12,0.921875
13,0.9140625
14,0.9140625
15,0.90625
16,0.90625
17,0.890625
18,0.8828125
19,0.875
20,0.8671875
