epoch,loss
1,0.6931354972449216
2,0.6925171667879279
3,0.6915688894011758
4,0.6893804154612801
5,0.6883028881116346
6,0.686715071851557
7,0.6850849742239172
8,0.6839105270125649
9,0.6850591654127295
10,0.6819248660044237
11,0.6809165938334032
12,0.6782621524550698
13,0.6767580292441628
14,0.6805238913406025
15,0.6762787780978463
16,0.6736508770422502
17,0.6775241087783467
18,0.6765844930302013
19,0.6725096052343195
20,0.6685498736121438
21,0.6681450036439028
22,0.6648363308473066
23,0.6653543060476129
24,0.6644319756464525
25,0.6625939959829504
26,0.6589221277020194
27,0.657878350127827
28,0.6576079455288973
29,0.655804764140736
30,0.6554970687085931
31,0.6540433764457703
32,0.6510645232417367
33,0.6518770158290863
34,0.6493450023911216
35,0.6472092297944155
36,0.6459945602850481
37,0.6499362804672935
38,0.652879766442559
39,0.6473848494616422
40,0.6467418968677521
41,0.6448270570148121
42,0.6426884206858549
43,0.6412399790503762
44,0.6415342607281425
45,0.6403341916474429
46,0.6415319849144329
47,0.6376696635376323
48,0.6351730552586642
49,0.6396796974268827
50,0.6356564624743029
51,0.6339673183181069
52,0.6335594437339089
53,0.6321111511100422
54,0.6296095224944028
55,0.6340400766242634
56,0.6285150674256411
57,0.6293457611040636
58,0.6290764266794379
59,0.626467149366032
60,0.6319392323493958
61,0.6260620138861916
62,0.6235462332313711
63,0.622298614545302
64,0.6264701079238545
65,0.6235452077605508
66,0.6318567964163694
67,0.6285593590953134
