num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run,folder
1,0.001,8,adam,16,0.7368421052631579,2050,run_00_adam_ly1_lr0.001_bs8
1,0.001,8,sgd,16,0.5,51,run_01_sgd_ly1_lr0.001_bs8
1,0.001,16,adam,16,0.7105263157894737,4039,run_02_adam_ly1_lr0.001_bs16
1,0.001,16,sgd,16,0.5,51,run_03_sgd_ly1_lr0.001_bs16
1,0.001,32,adam,16,0.7105263157894737,3922,run_04_adam_ly1_lr0.001_bs32
1,0.001,32,sgd,16,0.5,51,run_05_sgd_ly1_lr0.001_bs32
1,0.001,64,adam,16,0.631578947368421,5020,run_06_adam_ly1_lr0.001_bs64
1,0.001,64,sgd,16,0.5,51,run_07_sgd_ly1_lr0.001_bs64
1,0.01,8,adam,16,0.7105263157894737,435,run_08_adam_ly1_lr0.01_bs8
1,0.01,8,sgd,16,0.5,51,run_09_sgd_ly1_lr0.01_bs8
1,0.01,16,adam,16,0.6842105263157895,1231,run_10_adam_ly1_lr0.01_bs16
1,0.01,16,sgd,16,0.5,51,run_11_sgd_ly1_lr0.01_bs16
1,0.01,32,adam,16,0.7368421052631579,784,run_12_adam_ly1_lr0.01_bs32
1,0.01,32,sgd,16,0.5,51,run_13_sgd_ly1_lr0.01_bs32
1,0.01,64,adam,16,0.6842105263157895,1013,run_14_adam_ly1_lr0.01_bs64
1,0.01,64,sgd,16,0.5,51,run_15_sgd_ly1_lr0.01_bs64
1,0.02,8,adam,16,0.7368421052631579,211,run_16_adam_ly1_lr0.02_bs8
1,0.02,8,sgd,16,0.5,51,run_17_sgd_ly1_lr0.02_bs8
1,0.02,16,adam,16,0.7368421052631579,473,run_18_adam_ly1_lr0.02_bs16
1,0.02,16,sgd,16,0.5,51,run_19_sgd_ly1_lr0.02_bs16
1,0.02,32,adam,16,0.7368421052631579,514,run_20_adam_ly1_lr0.02_bs32
1,0.02,32,sgd,16,0.5,51,run_21_sgd_ly1_lr0.02_bs32
1,0.02,64,adam,16,0.7368421052631579,940,run_22_adam_ly1_lr0.02_bs64
1,0.02,64,sgd,16,0.5,51,run_23_sgd_ly1_lr0.02_bs64
1,0.05,8,adam,16,0.6842105263157895,190,run_24_adam_ly1_lr0.05_bs8
1,0.05,8,sgd,16,0.5,51,run_25_sgd_ly1_lr0.05_bs8
1,0.05,16,adam,16,0.6842105263157895,191,run_26_adam_ly1_lr0.05_bs16
1,0.05,16,sgd,16,0.5,51,run_27_sgd_ly1_lr0.05_bs16
1,0.05,32,adam,16,0.7105263157894737,214,run_28_adam_ly1_lr0.05_bs32
