num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run,folder
2,0.05,16,sgd,64,0.47368421052631576,51,run_59_sgd_ly2_lr0.05_bs16
2,0.05,32,adam,64,0.5263157894736842,51,run_60_adam_ly2_lr0.05_bs32
2,0.05,32,sgd,64,0.47368421052631576,51,run_61_sgd_ly2_lr0.05_bs32
2,0.05,64,adam,64,0.5789473684210527,139,run_62_adam_ly2_lr0.05_bs64
2,0.05,64,sgd,64,0.47368421052631576,51,run_63_sgd_ly2_lr0.05_bs64
3,0.001,8,adam,64,0.5263157894736842,51,run_64_adam_ly3_lr0.001_bs8
3,0.001,8,sgd,64,0.5263157894736842,51,run_65_sgd_ly3_lr0.001_bs8
3,0.001,16,adam,64,0.5526315789473685,51,run_66_adam_ly3_lr0.001_bs16
3,0.001,16,sgd,64,0.5263157894736842,51,run_67_sgd_ly3_lr0.001_bs16
3,0.001,32,adam,64,0.5263157894736842,51,run_68_adam_ly3_lr0.001_bs32
3,0.001,32,sgd,64,0.5263157894736842,51,run_69_sgd_ly3_lr0.001_bs32
3,0.001,64,adam,64,0.5526315789473685,51,run_70_adam_ly3_lr0.001_bs64
3,0.001,64,sgd,64,0.5263157894736842,51,run_71_sgd_ly3_lr0.001_bs64
3,0.01,8,adam,64,0.5526315789473685,51,run_72_adam_ly3_lr0.01_bs8
3,0.01,8,sgd,64,0.5263157894736842,51,run_73_sgd_ly3_lr0.01_bs8
3,0.01,16,adam,64,0.6578947368421053,293,run_74_adam_ly3_lr0.01_bs16
3,0.01,16,sgd,64,0.5263157894736842,51,run_75_sgd_ly3_lr0.01_bs16
3,0.01,32,adam,64,0.5263157894736842,51,run_76_adam_ly3_lr0.01_bs32
3,0.01,32,sgd,64,0.5263157894736842,51,run_77_sgd_ly3_lr0.01_bs32
3,0.01,64,adam,64,0.5789473684210527,51,run_78_adam_ly3_lr0.01_bs64
3,0.01,64,sgd,64,0.5263157894736842,51,run_79_sgd_ly3_lr0.01_bs64
3,0.02,8,adam,64,0.47368421052631576,274,run_80_adam_ly3_lr0.02_bs8
3,0.02,8,sgd,64,0.5263157894736842,51,run_81_sgd_ly3_lr0.02_bs8
3,0.02,16,adam,64,0.6578947368421053,179,run_82_adam_ly3_lr0.02_bs16
3,0.02,16,sgd,64,0.5263157894736842,51,run_83_sgd_ly3_lr0.02_bs16
3,0.02,32,adam,64,0.5526315789473685,51,run_84_adam_ly3_lr0.02_bs32
3,0.02,32,sgd,64,0.5263157894736842,51,run_85_sgd_ly3_lr0.02_bs32
3,0.02,64,adam,64,0.5526315789473685,92,run_86_adam_ly3_lr0.02_bs64
3,0.02,64,sgd,64,0.5263157894736842,51,run_87_sgd_ly3_lr0.02_bs64
