Loaded train=174, val=36, test=38
Epoch 156/500: loss = 0.2712
Epoch 157/500: loss = 0.2744
Epoch 158/500: loss = 0.2755
Epoch 159/500: loss = 0.2725
Epoch 160/500: loss = 0.2680
  Eval → acc=0.833, f1=0.824, auc=0.929
Epoch 161/500: loss = 0.2639
Epoch 162/500: loss = 0.2721
Epoch 163/500: loss = 0.2692
Epoch 164/500: loss = 0.2696
Epoch 165/500: loss = 0.2605
Epoch 166/500: loss = 0.2701
Epoch 167/500: loss = 0.2627
Epoch 168/500: loss = 0.2609
Epoch 169/500: loss = 0.2590
Epoch 170/500: loss = 0.2581
  Eval → acc=0.833, f1=0.824, auc=0.935
Epoch 171/500: loss = 0.2647
Epoch 172/500: loss = 0.2638
Epoch 173/500: loss = 0.2679
Epoch 174/500: loss = 0.2574
Epoch 175/500: loss = 0.2574
Epoch 176/500: loss = 0.2595
Epoch 177/500: loss = 0.2592
Epoch 178/500: loss = 0.2661
Epoch 179/500: loss = 0.2656
Epoch 180/500: loss = 0.2561
  Eval → acc=0.861, f1=0.857, auc=0.920
Epoch 181/500: loss = 0.2525
Epoch 182/500: loss = 0.2514
Epoch 183/500: loss = 0.2591
Epoch 184/500: loss = 0.2623
Epoch 185/500: loss = 0.2563
Epoch 186/500: loss = 0.2520
Epoch 187/500: loss = 0.2479
Epoch 188/500: loss = 0.2479
Epoch 189/500: loss = 0.2444
Epoch 190/500: loss = 0.2434
  Eval → acc=0.861, f1=0.857, auc=0.941
Epoch 191/500: loss = 0.2413
Epoch 192/500: loss = 0.2450
Epoch 193/500: loss = 0.2474
Epoch 194/500: loss = 0.2448
Epoch 195/500: loss = 0.2420
Epoch 196/500: loss = 0.2414
Epoch 197/500: loss = 0.2436
Epoch 198/500: loss = 0.2340
Epoch 199/500: loss = 0.2450
Epoch 200/500: loss = 0.2464
  Eval → acc=0.833, f1=0.824, auc=0.929
Epoch 201/500: loss = 0.2459
Epoch 202/500: loss = 0.2365
Epoch 203/500: loss = 0.2405
Epoch 204/500: loss = 0.2396
Epoch 205/500: loss = 0.2364
Epoch 206/500: loss = 0.2359
Epoch 207/500: loss = 0.2379
Epoch 208/500: loss = 0.2304
Epoch 209/500: loss = 0.2361
Epoch 210/500: loss = 0.2329
  Eval → acc=0.833, f1=0.824, auc=0.917
Epoch 211/500: loss = 0.2349
Epoch 212/500: loss = 0.2299
Epoch 213/500: loss = 0.2300
Epoch 214/500: loss = 0.2292
Epoch 215/500: loss = 0.2286
Epoch 216/500: loss = 0.2310
Epoch 217/500: loss = 0.2283
Epoch 218/500: loss = 0.2327
Epoch 219/500: loss = 0.2307
Epoch 220/500: loss = 0.2412
  Eval → acc=0.861, f1=0.848, auc=0.929
Epoch 221/500: loss = 0.2449
Epoch 222/500: loss = 0.2380
Epoch 223/500: loss = 0.2329
Epoch 224/500: loss = 0.2305
Epoch 225/500: loss = 0.2402
Epoch 226/500: loss = 0.2315
Epoch 227/500: loss = 0.2252
Epoch 228/500: loss = 0.2255
Epoch 229/500: loss = 0.2246
Epoch 230/500: loss = 0.2262
  Eval → acc=0.833, f1=0.824, auc=0.932
Epoch 231/500: loss = 0.2254
Epoch 232/500: loss = 0.2158
Epoch 233/500: loss = 0.2225
Epoch 234/500: loss = 0.2226
Epoch 235/500: loss = 0.2245
Epoch 236/500: loss = 0.2213
Epoch 237/500: loss = 0.2168
Epoch 238/500: loss = 0.2170
Epoch 239/500: loss = 0.2162
Epoch 240/500: loss = 0.2208
  Eval → acc=0.833, f1=0.824, auc=0.935
Epoch 241/500: loss = 0.2161
Epoch 242/500: loss = 0.2171
Epoch 243/500: loss = 0.2195
Epoch 244/500: loss = 0.2184
Epoch 245/500: loss = 0.2195
Epoch 246/500: loss = 0.2203
Epoch 247/500: loss = 0.2164
Epoch 248/500: loss = 0.2170
Epoch 249/500: loss = 0.2194
Epoch 250/500: loss = 0.2131
  Eval → acc=0.833, f1=0.824, auc=0.954
Epoch 251/500: loss = 0.2137
Epoch 252/500: loss = 0.2124
Epoch 253/500: loss = 0.2087
Epoch 254/500: loss = 0.2080
Epoch 255/500: loss = 0.2095
Epoch 256/500: loss = 0.2180
Epoch 257/500: loss = 0.2125
Epoch 258/500: loss = 0.2043
Epoch 259/500: loss = 0.2072
Epoch 260/500: loss = 0.2142
  Eval → acc=0.833, f1=0.824, auc=0.932
Epoch 261/500: loss = 0.2145
Epoch 262/500: loss = 0.2123
Epoch 263/500: loss = 0.2048
Epoch 264/500: loss = 0.2053
Epoch 265/500: loss = 0.2049
Epoch 266/500: loss = 0.2079
Epoch 267/500: loss = 0.2026
Epoch 268/500: loss = 0.2062
Epoch 269/500: loss = 0.2091
Epoch 270/500: loss = 0.2070
  Eval → acc=0.806, f1=0.788, auc=0.944
Epoch 271/500: loss = 0.2106
Epoch 272/500: loss = 0.2042
Epoch 273/500: loss = 0.2101
Epoch 274/500: loss = 0.1984
Epoch 275/500: loss = 0.2014
Epoch 276/500: loss = 0.2007
Epoch 277/500: loss = 0.2019
Epoch 278/500: loss = 0.1987
Epoch 279/500: loss = 0.2034
Epoch 280/500: loss = 0.1982
  Eval → acc=0.861, f1=0.848, auc=0.935
Epoch 281/500: loss = 0.2012
Epoch 282/500: loss = 0.1970
Epoch 283/500: loss = 0.1953
Epoch 284/500: loss = 0.1977
Epoch 285/500: loss = 0.1936
Epoch 286/500: loss = 0.1961
Epoch 287/500: loss = 0.2057
Epoch 288/500: loss = 0.1917
Epoch 289/500: loss = 0.1930
Epoch 290/500: loss = 0.1961
  Eval → acc=0.833, f1=0.824, auc=0.957
Epoch 291/500: loss = 0.1965
Epoch 292/500: loss = 0.2026
Epoch 293/500: loss = 0.1938
Epoch 294/500: loss = 0.1916
Epoch 295/500: loss = 0.1984
Epoch 296/500: loss = 0.1985
Epoch 297/500: loss = 0.1975
Epoch 298/500: loss = 0.1922
Epoch 299/500: loss = 0.1910
Epoch 300/500: loss = 0.1890
  Eval → acc=0.806, f1=0.788, auc=0.960
Epoch 301/500: loss = 0.1895
Epoch 302/500: loss = 0.1935
Epoch 303/500: loss = 0.2200
Epoch 304/500: loss = 0.2010
Epoch 305/500: loss = 0.2028
Epoch 306/500: loss = 0.1916
Epoch 307/500: loss = 0.1853
Epoch 308/500: loss = 0.1858
Epoch 309/500: loss = 0.1895
Epoch 310/500: loss = 0.1885
  Eval → acc=0.833, f1=0.824, auc=0.944
Epoch 311/500: loss = 0.1876
Epoch 312/500: loss = 0.1801
Epoch 313/500: loss = 0.1833
Epoch 314/500: loss = 0.1837
Epoch 315/500: loss = 0.1903
Epoch 316/500: loss = 0.1922
Epoch 317/500: loss = 0.1789
Epoch 318/500: loss = 0.1817
Epoch 319/500: loss = 0.1876
Epoch 320/500: loss = 0.1919
  Eval → acc=0.833, f1=0.824, auc=0.954
Epoch 321/500: loss = 0.1870
Epoch 322/500: loss = 0.1787
Epoch 323/500: loss = 0.1760
Epoch 324/500: loss = 0.1816
Epoch 325/500: loss = 0.1851
Epoch 326/500: loss = 0.2037
Epoch 327/500: loss = 0.1984
Epoch 328/500: loss = 0.1879
Epoch 329/500: loss = 0.1887
Epoch 330/500: loss = 0.1917
  Eval → acc=0.861, f1=0.857, auc=0.957
Epoch 331/500: loss = 0.1801
Epoch 332/500: loss = 0.1817
Epoch 333/500: loss = 0.1742
Epoch 334/500: loss = 0.1756
Epoch 335/500: loss = 0.1743
Epoch 336/500: loss = 0.1830
Epoch 337/500: loss = 0.1743
Epoch 338/500: loss = 0.1745
Epoch 339/500: loss = 0.1691
Epoch 340/500: loss = 0.1704
  Eval → acc=0.889, f1=0.875, auc=0.944
Epoch 341/500: loss = 0.1745
Epoch 342/500: loss = 0.1715
Epoch 343/500: loss = 0.1769
Epoch 344/500: loss = 0.1735
Epoch 345/500: loss = 0.1734
Epoch 346/500: loss = 0.1937
Epoch 347/500: loss = 0.1858
Epoch 348/500: loss = 0.1727
Epoch 349/500: loss = 0.1722
Epoch 350/500: loss = 0.1680
  Eval → acc=0.861, f1=0.848, auc=0.960
