epoch,loss
1,0.6945613821347555
2,0.6945615410804749
3,0.6942272583643595
4,0.6945139765739441
5,0.6946496764818827
6,0.6943363149960836
7,0.6946591734886169
8,0.6946518023808798
9,0.6944024960199991
10,0.6944073041280111
11,0.694332500298818
12,0.6942696571350098
13,0.6945870518684387
14,0.6942614515622457
15,0.6942442854245504
16,0.6946677962938944
17,0.6943090359369913
18,0.6942193309466044
19,0.6943849523862203
20,0.6943001747131348
21,0.694410522778829
22,0.694244921207428
23,0.6941143671671549
24,0.6943712035814921
25,0.6942104697227478
26,0.6943625013033549
27,0.6939902106920878
28,0.6940690279006958
29,0.6945727070172628
30,0.6940014163653055
31,0.6942854921023051
32,0.6943365931510925
33,0.693951686223348
34,0.6938910682996114
35,0.6940475900967916
36,0.6939757267634074
37,0.6940377354621887
38,0.6939800977706909
39,0.6936999559402466
40,0.6940128604571024
41,0.6940453251202902
42,0.6939830780029297
43,0.6940678954124451
44,0.6942052443822225
45,0.6938660542170206
46,0.6941912372907003
47,0.6940174301465353
48,0.6935499310493469
49,0.6937730312347412
50,0.6937285661697388
51,0.6936958233515421
