epoch,loss,accuracy,precision,recall,f1_score,auc
10,0.6885813691399314,0.5277777777777778,0.5263157894736842,0.5555555555555556,0.5405405405405406,0.5185185185185186
20,0.6809692870486866,0.5555555555555556,0.5714285714285714,0.4444444444444444,0.5,0.5246913580246915
30,0.6734168800440702,0.4444444444444444,0.4375,0.3888888888888889,0.4117647058823529,0.46296296296296297
40,0.6656193895773455,0.5277777777777778,0.5294117647058824,0.5,0.5142857142857142,0.5
50,0.6604205911809747,0.4722222222222222,0.4666666666666667,0.3888888888888889,0.42424242424242425,0.4506172839506173
60,0.6574722149155356,0.4444444444444444,0.45,0.5,0.47368421052631576,0.43827160493827155
70,0.6483076268976385,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5679012345679012
80,0.6369069543751803,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6080246913580246
90,0.62964697859504,0.6388888888888888,0.631578947368421,0.6666666666666666,0.6486486486486487,0.6265432098765432
100,0.6357454874298789,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.537037037037037
110,0.6305111321535978,0.4166666666666667,0.4117647058823529,0.3888888888888889,0.4,0.35802469135802467
120,0.6268386786634271,0.3888888888888889,0.375,0.3333333333333333,0.35294117647058826,0.32098765432098764
130,0.6080288995396007,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.6018518518518519
140,0.6053856394507668,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5771604938271606
150,0.6003414175727151,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6141975308641976
160,0.597494981505654,0.5555555555555556,0.55,0.6111111111111112,0.5789473684210527,0.5833333333333333
170,0.5916967825456099,0.5555555555555556,0.5625,0.5,0.5294117647058824,0.5740740740740741
180,0.5874028530987826,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5895061728395061
190,0.5811142542145469,0.5833333333333334,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.595679012345679
200,0.5860286300832575,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5740740740740741
210,0.5791633454236117,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.5771604938271605
220,0.5708587169647217,0.5277777777777778,0.5294117647058824,0.5,0.5142857142857142,0.5679012345679012
230,0.5676013339649547,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5771604938271605
240,0.5678708390756086,0.5277777777777778,0.5294117647058824,0.5,0.5142857142857142,0.5432098765432098
250,0.5615931315855547,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.5864197530864197
260,0.5558597255836834,0.6666666666666666,0.6875,0.6111111111111112,0.6470588235294118,0.6234567901234568
270,0.5516965118321505,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5802469135802469
280,0.549344079060988,0.6666666666666666,0.6875,0.6111111111111112,0.6470588235294118,0.6080246913580247
290,0.552475241097537,0.6666666666666666,0.6875,0.6111111111111112,0.6470588235294118,0.6265432098765433
300,0.5415558300235055,0.5833333333333334,0.6,0.5,0.5454545454545454,0.5771604938271605
310,0.5370771884918213,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.6018518518518519
320,0.5352889895439148,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5802469135802468
330,0.5353180711919611,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5925925925925926
340,0.5297266299074347,0.5833333333333334,0.6,0.5,0.5454545454545454,0.5771604938271605
350,0.5273542133244601,0.6388888888888888,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.6111111111111112
360,0.5261483138257806,0.6388888888888888,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.6080246913580247
370,0.5196025507016615,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.5833333333333334
380,0.5206818309697238,0.6388888888888888,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.5895061728395062
390,0.5154871913519773,0.5833333333333334,0.6,0.5,0.5454545454545454,0.5864197530864198
400,0.5147690583359111,0.5555555555555556,0.5625,0.5,0.5294117647058824,0.5555555555555556
410,0.5176302167502317,0.5555555555555556,0.5625,0.5,0.5294117647058824,0.5679012345679012
420,0.5100292834368619,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5802469135802468
430,0.5107206051999872,0.6388888888888888,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.5895061728395061
440,0.507563981142911,0.5833333333333334,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5802469135802468
450,0.5051191503351385,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5709876543209876
460,0.5003004805608229,0.5277777777777778,0.5333333333333333,0.4444444444444444,0.48484848484848486,0.5339506172839507
470,0.5066609220071272,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.595679012345679
480,0.49788217652927746,0.5277777777777778,0.5333333333333333,0.4444444444444444,0.48484848484848486,0.5092592592592593
490,0.49500989643010224,0.6388888888888888,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.5709876543209876
500,0.49600373885848303,0.5833333333333334,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.5524691358024691
