Loaded train=174, val=36, test=38
Epoch 1/500: loss = 0.6927
Epoch 2/500: loss = 0.6914
Epoch 3/500: loss = 0.6897
Epoch 4/500: loss = 0.6879
Epoch 5/500: loss = 0.6852
Epoch 6/500: loss = 0.6828
Epoch 7/500: loss = 0.6811
Epoch 8/500: loss = 0.6783
Epoch 9/500: loss = 0.6744
Epoch 10/500: loss = 0.6720
  Eval → acc=0.611, f1=0.650, auc=0.670
Epoch 11/500: loss = 0.6676
Epoch 12/500: loss = 0.6648
Epoch 13/500: loss = 0.6621
Epoch 14/500: loss = 0.6584
Epoch 15/500: loss = 0.6556
Epoch 16/500: loss = 0.6533
Epoch 17/500: loss = 0.6505
Epoch 18/500: loss = 0.6476
Epoch 19/500: loss = 0.6457
Epoch 20/500: loss = 0.6426
  Eval → acc=0.667, f1=0.700, auc=0.738
Epoch 21/500: loss = 0.6417
Epoch 22/500: loss = 0.6401
Epoch 23/500: loss = 0.6376
Epoch 24/500: loss = 0.6361
Epoch 25/500: loss = 0.6338
Epoch 26/500: loss = 0.6303
Epoch 27/500: loss = 0.6274
Epoch 28/500: loss = 0.6262
Epoch 29/500: loss = 0.6255
Epoch 30/500: loss = 0.6222
  Eval → acc=0.667, f1=0.700, auc=0.744
Epoch 31/500: loss = 0.6209
Epoch 32/500: loss = 0.6201
Epoch 33/500: loss = 0.6188
Epoch 34/500: loss = 0.6167
Epoch 35/500: loss = 0.6177
Epoch 36/500: loss = 0.6149
Epoch 37/500: loss = 0.6140
Epoch 38/500: loss = 0.6134
Epoch 39/500: loss = 0.6109
Epoch 40/500: loss = 0.6097
  Eval → acc=0.639, f1=0.667, auc=0.722
Epoch 41/500: loss = 0.6119
Epoch 42/500: loss = 0.6091
Epoch 43/500: loss = 0.6068
Epoch 44/500: loss = 0.6071
Epoch 45/500: loss = 0.6062
Epoch 46/500: loss = 0.6050
Epoch 47/500: loss = 0.6056
Epoch 48/500: loss = 0.6034
Epoch 49/500: loss = 0.6013
Epoch 50/500: loss = 0.6000
  Eval → acc=0.639, f1=0.667, auc=0.725
Epoch 51/500: loss = 0.6025
Epoch 52/500: loss = 0.6010
Epoch 53/500: loss = 0.5990
Epoch 54/500: loss = 0.5978
Epoch 55/500: loss = 0.5968
Epoch 56/500: loss = 0.5953
Epoch 57/500: loss = 0.5969
Epoch 58/500: loss = 0.5961
Epoch 59/500: loss = 0.5980
Epoch 60/500: loss = 0.5937
  Eval → acc=0.583, f1=0.615, auc=0.707
Epoch 61/500: loss = 0.5918
Epoch 62/500: loss = 0.5918
Epoch 63/500: loss = 0.5925
Epoch 64/500: loss = 0.5916
Epoch 65/500: loss = 0.5898
Epoch 66/500: loss = 0.5903
Epoch 67/500: loss = 0.5868
Epoch 68/500: loss = 0.5876
Epoch 69/500: loss = 0.5861
Epoch 70/500: loss = 0.5845
  Eval → acc=0.639, f1=0.649, auc=0.676
Epoch 71/500: loss = 0.5842
Epoch 72/500: loss = 0.5849
Epoch 73/500: loss = 0.5841
Epoch 74/500: loss = 0.5820
Epoch 75/500: loss = 0.5818
Epoch 76/500: loss = 0.5834
Epoch 77/500: loss = 0.5832
Epoch 78/500: loss = 0.5857
Epoch 79/500: loss = 0.5777
Epoch 80/500: loss = 0.5793
  Eval → acc=0.611, f1=0.632, auc=0.664
Epoch 81/500: loss = 0.5781
Epoch 82/500: loss = 0.5814
Epoch 83/500: loss = 0.5813
Epoch 84/500: loss = 0.5796
Epoch 85/500: loss = 0.5816
Epoch 86/500: loss = 0.5760
Epoch 87/500: loss = 0.5748
Epoch 88/500: loss = 0.5757
Epoch 89/500: loss = 0.5751
Epoch 90/500: loss = 0.5698
  Eval → acc=0.583, f1=0.571, auc=0.648
Epoch 91/500: loss = 0.5694
Epoch 92/500: loss = 0.5718
Epoch 93/500: loss = 0.5738
Epoch 94/500: loss = 0.5668
Epoch 95/500: loss = 0.5678
Epoch 96/500: loss = 0.5687
Epoch 97/500: loss = 0.5657
Epoch 98/500: loss = 0.5695
Epoch 99/500: loss = 0.5640
Epoch 100/500: loss = 0.5629
  Eval → acc=0.611, f1=0.611, auc=0.694
Epoch 101/500: loss = 0.5690
Epoch 102/500: loss = 0.5703
Epoch 103/500: loss = 0.5726
Epoch 104/500: loss = 0.5685
Epoch 105/500: loss = 0.5639
Epoch 106/500: loss = 0.5715
Epoch 107/500: loss = 0.5688
Epoch 108/500: loss = 0.5705
Epoch 109/500: loss = 0.5620
Epoch 110/500: loss = 0.5635
