num_layers,test_accuracy
1,0.84375
2,0.7890625
3,0.890625
4,0.875
5,0.9296875
6,0.9140625
7,0.9140625
8,0.90625
9,0.9296875
10,0.890625
11,0.9140625
12,0.890625
13,0.890625
14,0.8984375
15,0.90625
16,0.8671875
17,0.8671875
18,0.8671875
19,0.8671875
20,0.8671875
