
>>> Config 1/19: run_0_ly2_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.673372
    Epoch 200/3000 - Loss: 0.658790
    Epoch 300/3000 - Loss: 0.652482
    Epoch 400/3000 - Loss: 0.654297
    Epoch 500/3000 - Loss: 0.644487
    Epoch 600/3000 - Loss: 0.651475
    Epoch 700/3000 - Loss: 0.642094
    Epoch 800/3000 - Loss: 0.647142
    Epoch 900/3000 - Loss: 0.636446
    Epoch 1000/3000 - Loss: 0.638904
    Epoch 1100/3000 - Loss: 0.636415
    Epoch 1200/3000 - Loss: 0.634893
    Epoch 1300/3000 - Loss: 0.636015
    Epoch 1400/3000 - Loss: 0.632494
    Epoch 1500/3000 - Loss: 0.633292
    Epoch 1600/3000 - Loss: 0.630596
    Epoch 1700/3000 - Loss: 0.627878
    Epoch 1800/3000 - Loss: 0.630540
    Epoch 1900/3000 - Loss: 0.629551
    Epoch 2000/3000 - Loss: 0.632352
    Epoch 2100/3000 - Loss: 0.626474
    Epoch 2200/3000 - Loss: 0.626029
    Epoch 2300/3000 - Loss: 0.625807
    Epoch 2400/3000 - Loss: 0.625440
    Epoch 2500/3000 - Loss: 0.626113
    Epoch 2600/3000 - Loss: 0.624326
    Epoch 2700/3000 - Loss: 0.624382
    Epoch 2800/3000 - Loss: 0.624164
    Epoch 2900/3000 - Loss: 0.623741
    Epoch 3000/3000 - Loss: 0.623837

>>> Config 2/19: run_1_ly3_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.679976
    Epoch 200/3000 - Loss: 0.665745
    Epoch 300/3000 - Loss: 0.659357
    Epoch 400/3000 - Loss: 0.656489
    Epoch 500/3000 - Loss: 0.657347
    Epoch 600/3000 - Loss: 0.651111
    Epoch 700/3000 - Loss: 0.654103
    Epoch 800/3000 - Loss: 0.642989
    Epoch 900/3000 - Loss: 0.638047
    Epoch 1000/3000 - Loss: 0.633731
    Epoch 1100/3000 - Loss: 0.634936
    Epoch 1200/3000 - Loss: 0.633401
    Epoch 1300/3000 - Loss: 0.636445
    Epoch 1400/3000 - Loss: 0.628785
    Epoch 1500/3000 - Loss: 0.632988
    Epoch 1600/3000 - Loss: 0.626571
    Epoch 1700/3000 - Loss: 0.622335
    Epoch 1800/3000 - Loss: 0.622747
    Epoch 1900/3000 - Loss: 0.618307
    Epoch 2000/3000 - Loss: 0.619705
    Epoch 2100/3000 - Loss: 0.614782
    Epoch 2200/3000 - Loss: 0.614257
    Epoch 2300/3000 - Loss: 0.613297
    Epoch 2400/3000 - Loss: 0.612333
    Epoch 2500/3000 - Loss: 0.612648
    Epoch 2600/3000 - Loss: 0.611466
    Epoch 2700/3000 - Loss: 0.609468
    Epoch 2800/3000 - Loss: 0.609515
    Epoch 2900/3000 - Loss: 0.608589
    Epoch 3000/3000 - Loss: 0.608557

>>> Config 3/19: run_2_ly4_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.692193
    Epoch 200/3000 - Loss: 0.666182
    Epoch 300/3000 - Loss: 0.663596
    Epoch 400/3000 - Loss: 0.664673
    Epoch 500/3000 - Loss: 0.646271
    Epoch 600/3000 - Loss: 0.635915
    Epoch 700/3000 - Loss: 0.627209
    Epoch 800/3000 - Loss: 0.629626
    Epoch 900/3000 - Loss: 0.616381
    Epoch 1000/3000 - Loss: 0.614810
    Epoch 1100/3000 - Loss: 0.612470
    Epoch 1200/3000 - Loss: 0.609031
    Epoch 1300/3000 - Loss: 0.609935
    Epoch 1400/3000 - Loss: 0.597041
    Epoch 1500/3000 - Loss: 0.598385
    Epoch 1600/3000 - Loss: 0.594734
    Epoch 1700/3000 - Loss: 0.589182
    Epoch 1800/3000 - Loss: 0.587835
    Epoch 1900/3000 - Loss: 0.581897
    Epoch 2000/3000 - Loss: 0.582782
    Epoch 2100/3000 - Loss: 0.581337
    Epoch 2200/3000 - Loss: 0.578064
    Epoch 2300/3000 - Loss: 0.575599
    Epoch 2400/3000 - Loss: 0.573553
    Epoch 2500/3000 - Loss: 0.573058
    Epoch 2600/3000 - Loss: 0.572326
    Epoch 2700/3000 - Loss: 0.571909
    Epoch 2800/3000 - Loss: 0.571722
    Epoch 2900/3000 - Loss: 0.571143
    Epoch 3000/3000 - Loss: 0.570997

>>> Config 4/19: run_3_ly5_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.685865
    Epoch 200/3000 - Loss: 0.680230
    Epoch 300/3000 - Loss: 0.684845
    Epoch 400/3000 - Loss: 0.662914
    Epoch 500/3000 - Loss: 0.668138
    Epoch 600/3000 - Loss: 0.671702
    Epoch 700/3000 - Loss: 0.683635
    Epoch 800/3000 - Loss: 0.647113
    Epoch 900/3000 - Loss: 0.638338
    Epoch 1000/3000 - Loss: 0.635584
    Epoch 1100/3000 - Loss: 0.652851
    Epoch 1200/3000 - Loss: 0.641499
    Epoch 1300/3000 - Loss: 0.636073
    Epoch 1400/3000 - Loss: 0.627626
    Epoch 1500/3000 - Loss: 0.625340
    Epoch 1600/3000 - Loss: 0.625163
    Epoch 1700/3000 - Loss: 0.622216
    Epoch 1800/3000 - Loss: 0.620641
    Epoch 1900/3000 - Loss: 0.613419
    Epoch 2000/3000 - Loss: 0.611283
    Epoch 2100/3000 - Loss: 0.611220
    Epoch 2200/3000 - Loss: 0.607343
    Epoch 2300/3000 - Loss: 0.604858
    Epoch 2400/3000 - Loss: 0.605945
    Epoch 2500/3000 - Loss: 0.600814
    Epoch 2600/3000 - Loss: 0.599704
    Epoch 2700/3000 - Loss: 0.601081
    Epoch 2800/3000 - Loss: 0.597964
    Epoch 2900/3000 - Loss: 0.597978
    Epoch 3000/3000 - Loss: 0.597823

>>> Config 5/19: run_4_ly6_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.690912
    Epoch 200/3000 - Loss: 0.690649
    Epoch 300/3000 - Loss: 0.686856
    Epoch 400/3000 - Loss: 0.678123
    Epoch 500/3000 - Loss: 0.678546
    Epoch 600/3000 - Loss: 0.677364
    Epoch 700/3000 - Loss: 0.686075
    Epoch 800/3000 - Loss: 0.680517
    Epoch 900/3000 - Loss: 0.675579
    Epoch 1000/3000 - Loss: 0.657051
    Epoch 1100/3000 - Loss: 0.647770
    Epoch 1200/3000 - Loss: 0.657427
    Epoch 1300/3000 - Loss: 0.645850
    Epoch 1400/3000 - Loss: 0.634939
    Epoch 1500/3000 - Loss: 0.628821
    Epoch 1600/3000 - Loss: 0.629014
    Epoch 1700/3000 - Loss: 0.629489
    Epoch 1800/3000 - Loss: 0.619955
    Epoch 1900/3000 - Loss: 0.620006
    Epoch 2000/3000 - Loss: 0.614159
    Epoch 2100/3000 - Loss: 0.611057
    Epoch 2200/3000 - Loss: 0.608578
    Epoch 2300/3000 - Loss: 0.606741
    Epoch 2400/3000 - Loss: 0.607443
    Epoch 2500/3000 - Loss: 0.602539
    Epoch 2600/3000 - Loss: 0.602095
    Epoch 2700/3000 - Loss: 0.600669
    Epoch 2800/3000 - Loss: 0.600233
    Epoch 2900/3000 - Loss: 0.600077
    Epoch 3000/3000 - Loss: 0.599435

>>> Config 6/19: run_5_ly7_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.686833
    Epoch 200/3000 - Loss: 0.680944
    Epoch 300/3000 - Loss: 0.675095
    Epoch 400/3000 - Loss: 0.661011
    Epoch 500/3000 - Loss: 0.682267
    Epoch 600/3000 - Loss: 0.670255
    Epoch 700/3000 - Loss: 0.686279
    Epoch 800/3000 - Loss: 0.674293
    Epoch 900/3000 - Loss: 0.659242
    Epoch 1000/3000 - Loss: 0.639899
    Epoch 1100/3000 - Loss: 0.644121
    Epoch 1200/3000 - Loss: 0.634209
    Epoch 1300/3000 - Loss: 0.633465
    Epoch 1400/3000 - Loss: 0.628107
    Epoch 1500/3000 - Loss: 0.628193
    Epoch 1600/3000 - Loss: 0.609313
    Epoch 1700/3000 - Loss: 0.612378
    Epoch 1800/3000 - Loss: 0.608540
    Epoch 1900/3000 - Loss: 0.603669
    Epoch 2000/3000 - Loss: 0.603661
    Epoch 2100/3000 - Loss: 0.600434
    Epoch 2200/3000 - Loss: 0.594420
    Epoch 2300/3000 - Loss: 0.593634
    Epoch 2400/3000 - Loss: 0.589914
    Epoch 2500/3000 - Loss: 0.587856
    Epoch 2600/3000 - Loss: 0.587156
    Epoch 2700/3000 - Loss: 0.586224
    Epoch 2800/3000 - Loss: 0.585842
    Epoch 2900/3000 - Loss: 0.585074
    Epoch 3000/3000 - Loss: 0.585122

>>> Config 7/19: run_6_ly8_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.689988
    Epoch 200/3000 - Loss: 0.686580
    Epoch 300/3000 - Loss: 0.683731
    Epoch 400/3000 - Loss: 0.678359
    Epoch 500/3000 - Loss: 0.675929
    Epoch 600/3000 - Loss: 0.670855
    Epoch 700/3000 - Loss: 0.662771
    Epoch 800/3000 - Loss: 0.658188
    Epoch 900/3000 - Loss: 0.653919
    Epoch 1000/3000 - Loss: 0.647493
    Epoch 1100/3000 - Loss: 0.645760
    Epoch 1200/3000 - Loss: 0.632007
    Epoch 1300/3000 - Loss: 0.667916
    Epoch 1400/3000 - Loss: 0.608257
    Epoch 1500/3000 - Loss: 0.596558
    Epoch 1600/3000 - Loss: 0.616317
    Epoch 1700/3000 - Loss: 0.590773
    Epoch 1800/3000 - Loss: 0.579337
    Epoch 1900/3000 - Loss: 0.581356
    Epoch 2000/3000 - Loss: 0.577245
    Epoch 2100/3000 - Loss: 0.568801
    Epoch 2200/3000 - Loss: 0.567524
    Epoch 2300/3000 - Loss: 0.563170
    Epoch 2400/3000 - Loss: 0.560711
    Epoch 2500/3000 - Loss: 0.558443
    Epoch 2600/3000 - Loss: 0.556647
    Epoch 2700/3000 - Loss: 0.555214
    Epoch 2800/3000 - Loss: 0.555217
    Epoch 2900/3000 - Loss: 0.554127
    Epoch 3000/3000 - Loss: 0.554044

>>> Config 8/19: run_7_ly9_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.686767
    Epoch 200/3000 - Loss: 0.684375
    Epoch 300/3000 - Loss: 0.694934
    Epoch 400/3000 - Loss: 0.683173
    Epoch 500/3000 - Loss: 0.674401
    Epoch 600/3000 - Loss: 0.682292
    Epoch 700/3000 - Loss: 0.687300
    Epoch 800/3000 - Loss: 0.679824
    Epoch 900/3000 - Loss: 0.678179
    Epoch 1000/3000 - Loss: 0.683699
    Epoch 1100/3000 - Loss: 0.668048
    Epoch 1200/3000 - Loss: 0.648699
    Epoch 1300/3000 - Loss: 0.644845
    Epoch 1400/3000 - Loss: 0.651202
    Epoch 1500/3000 - Loss: 0.639734
    Epoch 1600/3000 - Loss: 0.639900
    Epoch 1700/3000 - Loss: 0.630064
    Epoch 1800/3000 - Loss: 0.625168
    Epoch 1900/3000 - Loss: 0.618259
    Epoch 2000/3000 - Loss: 0.613261
    Epoch 2100/3000 - Loss: 0.610312
    Epoch 2200/3000 - Loss: 0.607627
    Epoch 2300/3000 - Loss: 0.606172
    Epoch 2400/3000 - Loss: 0.606164
    Epoch 2500/3000 - Loss: 0.599851
    Epoch 2600/3000 - Loss: 0.599506
    Epoch 2700/3000 - Loss: 0.598940
    Epoch 2800/3000 - Loss: 0.598072
    Epoch 2900/3000 - Loss: 0.597453
    Epoch 3000/3000 - Loss: 0.597381

>>> Config 9/19: run_8_ly10_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.691428
    Epoch 200/3000 - Loss: 0.691017
    Epoch 300/3000 - Loss: 0.688766
    Epoch 400/3000 - Loss: 0.683502
    Epoch 500/3000 - Loss: 0.686131
    Epoch 600/3000 - Loss: 0.687469
    Epoch 700/3000 - Loss: 0.678299
    Epoch 800/3000 - Loss: 0.682055
    Epoch 900/3000 - Loss: 0.684860
    Epoch 1000/3000 - Loss: 0.671692
    Epoch 1100/3000 - Loss: 0.687382
    Epoch 1200/3000 - Loss: 0.676912
    Epoch 1300/3000 - Loss: 0.676968
    Epoch 1400/3000 - Loss: 0.663672
    Epoch 1500/3000 - Loss: 0.666618
    Epoch 1600/3000 - Loss: 0.658700
    Epoch 1700/3000 - Loss: 0.673217
    Epoch 1800/3000 - Loss: 0.647946
    Epoch 1900/3000 - Loss: 0.641243
    Epoch 2000/3000 - Loss: 0.643204
    Epoch 2100/3000 - Loss: 0.634463
    Epoch 2200/3000 - Loss: 0.630742
    Epoch 2300/3000 - Loss: 0.628610
    Epoch 2400/3000 - Loss: 0.623353
    Epoch 2500/3000 - Loss: 0.622825
    Epoch 2600/3000 - Loss: 0.620760
    Epoch 2700/3000 - Loss: 0.618837
    Epoch 2800/3000 - Loss: 0.618269
    Epoch 2900/3000 - Loss: 0.617112
    Epoch 3000/3000 - Loss: 0.617414

>>> Config 10/19: run_9_ly11_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.692288
    Epoch 200/3000 - Loss: 0.686202
    Epoch 300/3000 - Loss: 0.683845
    Epoch 400/3000 - Loss: 0.686086
    Epoch 500/3000 - Loss: 0.686349
    Epoch 600/3000 - Loss: 0.692333
    Epoch 700/3000 - Loss: 0.676597
    Epoch 800/3000 - Loss: 0.692214
    Epoch 900/3000 - Loss: 0.678408
    Epoch 1000/3000 - Loss: 0.683322
    Epoch 1100/3000 - Loss: 0.687751
    Epoch 1200/3000 - Loss: 0.684743
    Epoch 1300/3000 - Loss: 0.681206
    Epoch 1400/3000 - Loss: 0.675225
    Epoch 1500/3000 - Loss: 0.669474
    Epoch 1600/3000 - Loss: 0.671616
    Epoch 1700/3000 - Loss: 0.661031
    Epoch 1800/3000 - Loss: 0.665132
    Epoch 1900/3000 - Loss: 0.653995
    Epoch 2000/3000 - Loss: 0.640496
    Epoch 2100/3000 - Loss: 0.637329
    Epoch 2200/3000 - Loss: 0.632206
    Epoch 2300/3000 - Loss: 0.628556
    Epoch 2400/3000 - Loss: 0.626111
    Epoch 2500/3000 - Loss: 0.623612
    Epoch 2600/3000 - Loss: 0.621374
    Epoch 2700/3000 - Loss: 0.620851
    Epoch 2800/3000 - Loss: 0.619380
    Epoch 2900/3000 - Loss: 0.618631
    Epoch 3000/3000 - Loss: 0.619119

>>> Config 11/19: run_10_ly12_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.691782
    Epoch 200/3000 - Loss: 0.691787
    Epoch 300/3000 - Loss: 0.691121
    Epoch 400/3000 - Loss: 0.680533
    Epoch 500/3000 - Loss: 0.689302
    Epoch 600/3000 - Loss: 0.687784
    Epoch 700/3000 - Loss: 0.690984
    Epoch 800/3000 - Loss: 0.675301
    Epoch 900/3000 - Loss: 0.680953
    Epoch 1000/3000 - Loss: 0.688480
