num_layers,test_accuracy
1,0.9140625
2,0.8984375
3,0.9140625
4,0.8984375
5,0.921875
6,0.921875
7,0.9296875
8,0.921875
9,0.9140625
10,0.9375
11,0.9296875
12,0.9296875
13,0.9140625
14,0.921875
15,0.921875
16,0.921875
17,0.90625
18,0.8984375
19,0.875
20,0.8671875
