epoch,loss
1,0.6926228006680807
2,0.6928287347157797
3,0.6926942567030588
4,0.6925376454989115
5,0.6930242578188578
6,0.6927410463492075
7,0.6923576394716898
8,0.6925794382890066
9,0.6924081643422445
10,0.6929451922575632
11,0.6929974655310313
12,0.6929343938827515
13,0.6927175223827362
14,0.6928729812304179
15,0.6932418644428253
16,0.6925925612449646
17,0.6931617259979248
18,0.6926431258519491
19,0.692767063776652
20,0.6926199595133463
21,0.6926476160685221
22,0.6925504008928934
23,0.6925810873508453
24,0.6926500101884207
25,0.6931213537851969
26,0.692863384882609
27,0.6923688352108002
28,0.6928710242112478
29,0.6925372282663981
30,0.692657858133316
31,0.6930831372737885
32,0.6928955018520355
33,0.6924315492312113
34,0.6926534175872803
35,0.6926350692907969
36,0.6929122904936472
37,0.6924034257729849
38,0.6923221250375112
39,0.6924198269844055
40,0.6922696630160013
41,0.6923932731151581
42,0.6928013761838278
43,0.6927273273468018
44,0.6925702095031738
45,0.6929343342781067
46,0.6928131878376007
47,0.6927064061164856
48,0.6929594377676646
49,0.6930950582027435
50,0.6921975314617157
51,0.6929426193237305
