
>>> Config 1/72: run_0_ly3_lr0.001_bs16
    Epoch 800/1000 - Loss: 0.690375
    Epoch 900/1000 - Loss: 0.690321
    Epoch 1000/1000 - Loss: 0.690322

>>> Config 14/72: run_13_ly5_lr0.001_bs32
    Epoch 100/1000 - Loss: 0.692840
    Epoch 200/1000 - Loss: 0.692509
    Epoch 300/1000 - Loss: 0.692193
    Epoch 400/1000 - Loss: 0.691915
    Epoch 500/1000 - Loss: 0.691696
    Epoch 600/1000 - Loss: 0.691533
    Epoch 700/1000 - Loss: 0.691410
    Epoch 800/1000 - Loss: 0.691357
    Epoch 900/1000 - Loss: 0.691323
    Epoch 1000/1000 - Loss: 0.691325

>>> Config 15/72: run_14_ly5_lr0.001_bs64
    Epoch 100/1000 - Loss: 0.692954
    Epoch 200/1000 - Loss: 0.692734
    Epoch 300/1000 - Loss: 0.692536
    Epoch 400/1000 - Loss: 0.692371
    Epoch 500/1000 - Loss: 0.692239
    Epoch 600/1000 - Loss: 0.692134
    Epoch 700/1000 - Loss: 0.692073
    Epoch 800/1000 - Loss: 0.692035
    Epoch 900/1000 - Loss: 0.692018
    Epoch 1000/1000 - Loss: 0.692010

>>> Config 16/72: run_15_ly5_lr0.01_bs16
    Epoch 100/1000 - Loss: 0.688969
    Epoch 200/1000 - Loss: 0.684258
    Epoch 300/1000 - Loss: 0.679994
    Epoch 400/1000 - Loss: 0.676225
    Epoch 500/1000 - Loss: 0.673356
    Epoch 600/1000 - Loss: 0.671467
    Epoch 700/1000 - Loss: 0.669961
    Epoch 800/1000 - Loss: 0.668904
    Epoch 900/1000 - Loss: 0.668399
    Epoch 1000/1000 - Loss: 0.668244

>>> Config 17/72: run_16_ly5_lr0.01_bs32
    Epoch 100/1000 - Loss: 0.690490
    Epoch 200/1000 - Loss: 0.686631
    Epoch 300/1000 - Loss: 0.683408
    Epoch 400/1000 - Loss: 0.680547
    Epoch 500/1000 - Loss: 0.678256
    Epoch 600/1000 - Loss: 0.676838
    Epoch 700/1000 - Loss: 0.675643
    Epoch 800/1000 - Loss: 0.675096
    Epoch 900/1000 - Loss: 0.674811
    Epoch 1000/1000 - Loss: 0.674806

>>> Config 18/72: run_17_ly5_lr0.01_bs64
    Epoch 100/1000 - Loss: 0.690952
    Epoch 200/1000 - Loss: 0.688811
    Epoch 300/1000 - Loss: 0.686825
    Epoch 400/1000 - Loss: 0.685170
    Epoch 500/1000 - Loss: 0.683865
    Epoch 600/1000 - Loss: 0.682954
    Epoch 700/1000 - Loss: 0.682298
    Epoch 800/1000 - Loss: 0.681983
    Epoch 900/1000 - Loss: 0.681814
    Epoch 1000/1000 - Loss: 0.681798

>>> Config 19/72: run_18_ly5_lr0.05_bs16
    Epoch 100/1000 - Loss: 0.693458
    Epoch 200/1000 - Loss: 0.691839
    Epoch 300/1000 - Loss: 0.687825
    Epoch 400/1000 - Loss: 0.683449
    Epoch 500/1000 - Loss: 0.683354
    Epoch 600/1000 - Loss: 0.674586
    Epoch 700/1000 - Loss: 0.664868
    Epoch 800/1000 - Loss: 0.658513
    Epoch 900/1000 - Loss: 0.656951
    Epoch 1000/1000 - Loss: 0.655761

>>> Config 20/72: run_19_ly5_lr0.05_bs32
    Epoch 100/1000 - Loss: 0.692705
    Epoch 200/1000 - Loss: 0.691228
    Epoch 300/1000 - Loss: 0.682760
    Epoch 400/1000 - Loss: 0.675714
    Epoch 500/1000 - Loss: 0.665730
    Epoch 600/1000 - Loss: 0.660659
    Epoch 700/1000 - Loss: 0.655782
    Epoch 800/1000 - Loss: 0.653433
    Epoch 900/1000 - Loss: 0.652693
    Epoch 1000/1000 - Loss: 0.651725

>>> Config 21/72: run_20_ly5_lr0.05_bs64
    Epoch 100/1000 - Loss: 0.685704
    Epoch 200/1000 - Loss: 0.675403
    Epoch 300/1000 - Loss: 0.669975
    Epoch 400/1000 - Loss: 0.664755
    Epoch 500/1000 - Loss: 0.658701
    Epoch 600/1000 - Loss: 0.654465
    Epoch 700/1000 - Loss: 0.651711
    Epoch 800/1000 - Loss: 0.650189
    Epoch 900/1000 - Loss: 0.649466
    Epoch 1000/1000 - Loss: 0.649305

>>> Config 22/72: run_21_ly5_lr0.1_bs16
    Epoch 100/1000 - Loss: 0.693021
    Epoch 200/1000 - Loss: 0.692500
    Epoch 300/1000 - Loss: 0.693313
    Epoch 400/1000 - Loss: 0.693306
    Epoch 500/1000 - Loss: 0.692991
    Epoch 600/1000 - Loss: 0.693608
    Epoch 700/1000 - Loss: 0.677573
    Epoch 800/1000 - Loss: 0.669896
    Epoch 900/1000 - Loss: 0.666473
    Epoch 1000/1000 - Loss: 0.665310

>>> Config 23/72: run_22_ly5_lr0.1_bs32
