num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run,folder
2,0.01,16,adam,64,0.512987012987013,97,run_42_adam_ly2_lr0.01_bs16
2,0.01,16,sgd,64,0.5,51,run_43_sgd_ly2_lr0.01_bs16
2,0.01,32,adam,64,0.4805194805194805,73,run_44_adam_ly2_lr0.01_bs32
2,0.01,32,sgd,64,0.4935064935064935,51,run_45_sgd_ly2_lr0.01_bs32
2,0.01,64,adam,64,0.538961038961039,200,run_46_adam_ly2_lr0.01_bs64
2,0.01,64,sgd,64,0.4935064935064935,51,run_47_sgd_ly2_lr0.01_bs64
2,0.02,8,adam,64,0.461038961038961,140,run_48_adam_ly2_lr0.02_bs8
2,0.02,8,sgd,64,0.4935064935064935,51,run_49_sgd_ly2_lr0.02_bs8
2,0.02,16,adam,64,0.461038961038961,156,run_50_adam_ly2_lr0.02_bs16
2,0.02,16,sgd,64,0.5,51,run_51_sgd_ly2_lr0.02_bs16
2,0.02,32,adam,64,0.525974025974026,181,run_52_adam_ly2_lr0.02_bs32
2,0.02,32,sgd,64,0.5,51,run_53_sgd_ly2_lr0.02_bs32
2,0.02,64,adam,64,0.4675324675324675,54,run_54_adam_ly2_lr0.02_bs64
2,0.02,64,sgd,64,0.4935064935064935,51,run_55_sgd_ly2_lr0.02_bs64
2,0.05,8,adam,64,0.512987012987013,126,run_56_adam_ly2_lr0.05_bs8
2,0.05,8,sgd,64,0.5,51,run_57_sgd_ly2_lr0.05_bs8
2,0.05,16,adam,64,0.45454545454545453,147,run_58_adam_ly2_lr0.05_bs16
2,0.05,16,sgd,64,0.5,51,run_59_sgd_ly2_lr0.05_bs16
2,0.05,32,adam,64,0.474025974025974,149,run_60_adam_ly2_lr0.05_bs32
2,0.05,32,sgd,64,0.5,51,run_61_sgd_ly2_lr0.05_bs32
2,0.05,64,adam,64,0.5909090909090909,124,run_62_adam_ly2_lr0.05_bs64
2,0.05,64,sgd,64,0.5,51,run_63_sgd_ly2_lr0.05_bs64
3,0.001,8,adam,64,0.461038961038961,518,run_64_adam_ly3_lr0.001_bs8
3,0.001,8,sgd,64,0.461038961038961,51,run_65_sgd_ly3_lr0.001_bs8
3,0.001,16,adam,64,0.44155844155844154,737,run_66_adam_ly3_lr0.001_bs16
3,0.001,16,sgd,64,0.461038961038961,51,run_67_sgd_ly3_lr0.001_bs16
3,0.001,32,adam,64,0.474025974025974,51,run_68_adam_ly3_lr0.001_bs32
3,0.001,32,sgd,64,0.461038961038961,51,run_69_sgd_ly3_lr0.001_bs32
3,0.001,64,adam,64,0.461038961038961,51,run_70_adam_ly3_lr0.001_bs64
3,0.001,64,sgd,64,0.461038961038961,51,run_71_sgd_ly3_lr0.001_bs64
3,0.01,8,adam,64,0.42857142857142855,118,run_72_adam_ly3_lr0.01_bs8
3,0.01,8,sgd,64,0.461038961038961,51,run_73_sgd_ly3_lr0.01_bs8
3,0.01,16,adam,64,0.4675324675324675,246,run_74_adam_ly3_lr0.01_bs16
3,0.01,16,sgd,64,0.4675324675324675,51,run_75_sgd_ly3_lr0.01_bs16
3,0.01,32,adam,64,0.4675324675324675,239,run_76_adam_ly3_lr0.01_bs32
3,0.01,32,sgd,64,0.4675324675324675,51,run_77_sgd_ly3_lr0.01_bs32
