num_layers,test_accuracy
1,0.9375
2,0.8828125
3,0.9609375
4,0.890625
5,0.9609375
6,0.9765625
7,0.96875
8,0.96875
9,0.9765625
10,0.984375
11,0.9765625
12,0.9609375
13,0.9609375
14,0.96875
15,0.96875
16,0.953125
17,0.9453125
18,0.9609375
19,0.953125
20,0.9453125
