epoch,loss,val_loss,accuracy
1,0.6931946178277334,0.6931586265563965,0.3888888888888889
2,0.693084716796875,0.6933528184890747,0.3611111111111111
3,0.6929247975349426,0.6934853792190552,0.3055555555555556
4,0.6926469802856445,0.6936818361282349,0.3611111111111111
5,0.6919873654842377,0.6936321258544922,0.3888888888888889
6,0.6916624903678894,0.6936367154121399,0.4166666666666667
7,0.6908338864644369,0.6935900449752808,0.3888888888888889
8,0.6903909742832184,0.6934529542922974,0.4166666666666667
9,0.6894895831743876,0.6934494376182556,0.3333333333333333
10,0.6887259582678477,0.6931174397468567,0.3611111111111111
11,0.6878252426783243,0.6933005452156067,0.3888888888888889
12,0.6860257287820181,0.6929196119308472,0.3611111111111111
13,0.6860320270061493,0.6926657557487488,0.3611111111111111
14,0.6849035620689392,0.6924124956130981,0.3611111111111111
15,0.684161365032196,0.6925292015075684,0.4166666666666667
16,0.6836022337277731,0.6922488212585449,0.3888888888888889
17,0.6823818981647491,0.6921337842941284,0.3611111111111111
18,0.6817295054594675,0.6919190287590027,0.3611111111111111
19,0.6804647743701935,0.691893458366394,0.4166666666666667
20,0.6787675023078918,0.6916229128837585,0.3888888888888889
21,0.680104007323583,0.6910818219184875,0.3888888888888889
22,0.6779564718405405,0.691822350025177,0.3611111111111111
23,0.6785568594932556,0.6917842030525208,0.3611111111111111
24,0.6772132317225138,0.6917478442192078,0.3888888888888889
25,0.6771371265252432,0.689698338508606,0.4166666666666667
26,0.677649199962616,0.6905999183654785,0.3888888888888889
27,0.6743492583433787,0.6881913542747498,0.5
28,0.6756078600883484,0.6911296248435974,0.4166666666666667
29,0.673506627480189,0.6912654042243958,0.4444444444444444
30,0.6736447910467783,0.6913892030715942,0.3611111111111111
31,0.6754624545574188,0.6909724473953247,0.4166666666666667
32,0.6680457492669424,0.6919047236442566,0.4166666666666667
33,0.6716419657071432,0.6915526986122131,0.3611111111111111
34,0.669051726659139,0.6910646557807922,0.3611111111111111
35,0.6685937643051147,0.6923626065254211,0.3888888888888889
36,0.6681615511576334,0.6937405467033386,0.3888888888888889
37,0.6673531432946523,0.6925773620605469,0.3888888888888889
38,0.6646395325660706,0.6923745274543762,0.3888888888888889
39,0.667819986740748,0.6933550834655762,0.4444444444444444
40,0.6645914316177368,0.6944153308868408,0.4166666666666667
41,0.6646396021048228,0.693444550037384,0.4166666666666667
42,0.6648713449637095,0.6936542987823486,0.3888888888888889
43,0.6594287653764089,0.6943601965904236,0.3888888888888889
44,0.6618722081184387,0.694532036781311,0.3888888888888889
45,0.6621342698733012,0.6934611797332764,0.4444444444444444
46,0.6608399550120035,0.6932849884033203,0.4166666666666667
47,0.6559159656365713,0.6953919529914856,0.3611111111111111
48,0.6566693882147471,0.6951958537101746,0.3611111111111111
49,0.6615506211916605,0.694905161857605,0.3611111111111111
50,0.6603689988454183,0.6950042843818665,0.4166666666666667
51,0.6617828806241354,0.6941598653793335,0.3611111111111111
52,0.6588763197263082,0.6932829022407532,0.4444444444444444
53,0.6560617486635844,0.6956567764282227,0.3888888888888889
54,0.6567371586958567,0.6947992444038391,0.4444444444444444
55,0.6592145065466563,0.6932145953178406,0.3888888888888889
56,0.6565306782722473,0.6962844133377075,0.3611111111111111
57,0.6538898746172587,0.6961604952812195,0.4166666666666667
58,0.6541265745957693,0.6970869898796082,0.4444444444444444
59,0.6524842778841654,0.6922528743743896,0.4166666666666667
60,0.6568642556667328,0.6994240880012512,0.3611111111111111
61,0.6569203734397888,0.6929112672805786,0.5277777777777778
62,0.6550774872303009,0.7000467777252197,0.3333333333333333
63,0.6571344137191772,0.7002577185630798,0.3333333333333333
64,0.6511576076348623,0.6975578665733337,0.3888888888888889
65,0.6493646005789439,0.6987918615341187,0.4444444444444444
66,0.6499551932017008,0.6976054310798645,0.3888888888888889
67,0.6483579476674398,0.6986637115478516,0.3888888888888889
68,0.6492331326007843,0.6982909440994263,0.4166666666666667
69,0.6494242548942566,0.6998866200447083,0.4166666666666667
70,0.6489383379618326,0.6984696984291077,0.3611111111111111
71,0.6430659592151642,0.697758674621582,0.3888888888888889
72,0.6414983967940012,0.6982228755950928,0.4166666666666667
73,0.6450880765914917,0.6997647881507874,0.3611111111111111
74,0.6419484714667002,0.7010859251022339,0.3611111111111111
75,0.6444998780886332,0.7001006007194519,0.4166666666666667
76,0.6434394121170044,0.7033055424690247,0.3611111111111111
77,0.6416000326474508,0.7010573744773865,0.3055555555555556
