epoch,loss,val_loss,accuracy
1,0.6931237280368805,0.6931759715080261,0.3333333333333333
2,0.6931418279806772,0.6931759119033813,0.3333333333333333
3,0.693132072687149,0.6931759715080261,0.3333333333333333
4,0.6931200126806895,0.6931759715080261,0.3333333333333333
5,0.6931192676226298,0.6931759119033813,0.3333333333333333
6,0.693128228187561,0.6931759715080261,0.3333333333333333
7,0.6931263009707133,0.6931758522987366,0.3333333333333333
8,0.6931259632110596,0.6931757926940918,0.3333333333333333
9,0.6931373377641042,0.6931757926940918,0.3333333333333333
10,0.6931370993455251,0.693175733089447,0.3333333333333333
11,0.6931262910366058,0.6931757926940918,0.3333333333333333
12,0.6931333144505819,0.6931757926940918,0.3333333333333333
13,0.6931134859720866,0.6931757926940918,0.3333333333333333
14,0.6931288540363312,0.6931758522987366,0.3333333333333333
15,0.6931240856647491,0.6931759119033813,0.3333333333333333
16,0.6931444903214773,0.6931759715080261,0.3333333333333333
17,0.6931292712688446,0.6931757926940918,0.3333333333333333
18,0.6931260128815969,0.693175733089447,0.3333333333333333
19,0.693128248055776,0.6931756138801575,0.3333333333333333
20,0.6931290924549103,0.6931756138801575,0.3333333333333333
21,0.6931244631608328,0.693175733089447,0.3333333333333333
22,0.6931367417176565,0.6931756138801575,0.3333333333333333
23,0.6931153337160746,0.6931754946708679,0.3333333333333333
24,0.6931322912375132,0.6931755542755127,0.3333333333333333
25,0.6931297580401102,0.6931755542755127,0.3333333333333333
26,0.693117082118988,0.6931756138801575,0.3333333333333333
27,0.6931281189123789,0.6931756138801575,0.3333333333333333
28,0.6931295593579611,0.6931756138801575,0.3333333333333333
29,0.6931273539861044,0.6931755542755127,0.3333333333333333
30,0.6931280096371969,0.6931754350662231,0.3333333333333333
31,0.6931267480055491,0.6931755542755127,0.3333333333333333
32,0.6931409438451132,0.6931753754615784,0.3333333333333333
33,0.6931421359380087,0.6931754350662231,0.3333333333333333
34,0.6931332449118296,0.6931753158569336,0.3333333333333333
35,0.6931135853131613,0.693175196647644,0.3333333333333333
36,0.6931279599666595,0.6931753158569336,0.3333333333333333
37,0.6931353608767191,0.6931754350662231,0.3333333333333333
38,0.6931406557559967,0.6931752562522888,0.3333333333333333
39,0.693127969900767,0.693175196647644,0.3333333333333333
40,0.6931412716706594,0.693175196647644,0.3333333333333333
41,0.693149983882904,0.6931753158569336,0.3333333333333333
42,0.6931175887584686,0.6931753754615784,0.3333333333333333
43,0.6931436359882355,0.6931753754615784,0.3333333333333333
44,0.6931244532267252,0.6931754350662231,0.3333333333333333
45,0.6931291321913401,0.6931754350662231,0.3333333333333333
46,0.693123867114385,0.693175196647644,0.3333333333333333
47,0.6931385596593221,0.6931751370429993,0.3333333333333333
48,0.6931274036566416,0.693175196647644,0.3333333333333333
49,0.6931457420190176,0.6931753158569336,0.3333333333333333
50,0.6931361556053162,0.6931751370429993,0.3333333333333333
51,0.6931021213531494,0.6931751370429993,0.3333333333333333
