epoch,loss,accuracy,precision,recall,f1_score,auc
10,0.6922620643268932,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4382716049382716
20,0.6918117620728232,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4506172839506173
30,0.6925785108046099,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.6018518518518519
40,0.6914486397396434,0.3611111111111111,0.3684210526315789,0.3888888888888889,0.3783783783783784,0.38580246913580246
50,0.6903593594377692,0.5,0.5,0.4444444444444444,0.47058823529411764,0.4691358024691358
60,0.6893754926594821,0.5,0.5,0.4444444444444444,0.47058823529411764,0.44753086419753085
70,0.6886965198950334,0.4722222222222222,0.47058823529411764,0.4444444444444444,0.45714285714285713,0.44753086419753085
80,0.6908947825431824,0.5,0.5,0.5,0.5,0.5061728395061728
90,0.6874317906119607,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4783950617283951
100,0.691620712930506,0.6388888888888888,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.6327160493827161
110,0.6862396706234325,0.4722222222222222,0.4666666666666667,0.3888888888888889,0.42424242424242425,0.41975308641975306
120,0.684161202474074,0.3333333333333333,0.2857142857142857,0.2222222222222222,0.25,0.345679012345679
130,0.6800024021755565,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.47530864197530864
140,0.6809652339328419,0.5833333333333334,0.5789473684210527,0.6111111111111112,0.5945945945945946,0.537037037037037
150,0.6806333552707325,0.4166666666666667,0.42857142857142855,0.5,0.46153846153846156,0.46296296296296297
160,0.6772914095358415,0.4166666666666667,0.42857142857142855,0.5,0.46153846153846156,0.462962962962963
170,0.6877892234108665,0.5,0.5,0.5,0.5,0.4722222222222222
180,0.6794716553254561,0.4444444444444444,0.45,0.5,0.47368421052631576,0.47222222222222227
190,0.6821156631816517,0.4722222222222222,0.47058823529411764,0.4444444444444444,0.45714285714285713,0.441358024691358
200,0.6733566143295981,0.4166666666666667,0.42857142857142855,0.5,0.46153846153846156,0.478395061728395
210,0.6745312376455828,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.46604938271604934
220,0.6702943769368258,0.4444444444444444,0.45,0.5,0.47368421052631576,0.47530864197530864
230,0.6720837788148359,0.5277777777777778,0.5263157894736842,0.5555555555555556,0.5405405405405406,0.4691358024691358
240,0.6766085191206499,0.5,0.5,0.5,0.5,0.5
250,0.6711987744678151,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.45061728395061723
260,0.6888225999745455,0.5555555555555556,0.5416666666666666,0.7222222222222222,0.6190476190476191,0.5895061728395061
270,0.6708587462251837,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4783950617283951
280,0.669524144042622,0.5,0.5,0.5,0.5,0.5
290,0.6669322089715437,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4876543209876544
300,0.6671716354110024,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.49691358024691357
310,0.6673709966919639,0.4444444444444444,0.45,0.5,0.47368421052631576,0.47530864197530864
320,0.6701934283429926,0.5,0.5,0.5555555555555556,0.5263157894736842,0.4537037037037037
330,0.66198392347856,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4814814814814815
340,0.6634725332260132,0.5277777777777778,0.5263157894736842,0.5555555555555556,0.5405405405405406,0.47530864197530864
350,0.663964184847745,0.5,0.5,0.5,0.5,0.4969135802469136
360,0.6588098352605646,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.47530864197530864
370,0.6577458923513239,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.49074074074074076
380,0.6621728972955183,0.4722222222222222,0.47058823529411764,0.4444444444444444,0.45714285714285713,0.462962962962963
390,0.6589116562496532,0.3888888888888889,0.375,0.3333333333333333,0.35294117647058826,0.3611111111111111
400,0.6537863449616865,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4783950617283951
410,0.6561230746182528,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.48456790123456794
420,0.6520326787775214,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4783950617283951
430,0.655577074397694,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4783950617283951
440,0.6514819101853804,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4783950617283951
450,0.653791216286746,0.3888888888888889,0.4,0.4444444444444444,0.42105263157894735,0.4228395061728395
460,0.647765414281325,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4969135802469136
470,0.6465434215285562,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4567901234567901
480,0.651198452169245,0.5277777777777778,0.5238095238095238,0.6111111111111112,0.5641025641025641,0.5
490,0.6625801379030402,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47530864197530864
500,0.6453477252613414,0.4444444444444444,0.45,0.5,0.47368421052631576,0.47222222222222227
510,0.6421161510727622,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4938271604938272
520,0.6422373273155906,0.4722222222222222,0.47619047619047616,0.5555555555555556,0.5128205128205128,0.4506172839506173
530,0.6419655572284352,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.48148148148148145
540,0.6388541839339517,0.4722222222222222,0.47619047619047616,0.5555555555555556,0.5128205128205128,0.462962962962963
550,0.6413643089207736,0.5,0.5,0.5,0.5,0.4845679012345679
560,0.6461595405231823,0.5,0.5,0.6111111111111112,0.55,0.4783950617283951
570,0.6449803439053622,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.4537037037037037
580,0.63936847448349,0.4444444444444444,0.45,0.5,0.47368421052631576,0.47530864197530864
590,0.6361004656011408,0.5,0.5,0.5555555555555556,0.5263157894736842,0.4938271604938272
600,0.6448505141518333,0.4722222222222222,0.47058823529411764,0.4444444444444444,0.45714285714285713,0.46913580246913583
610,0.6349594376303933,0.4722222222222222,0.47619047619047616,0.5555555555555556,0.5128205128205128,0.4722222222222222
620,0.6445553952997382,0.4722222222222222,0.47368421052631576,0.5,0.4864864864864865,0.47530864197530864
630,0.6384452527219598,0.5,0.5,0.5555555555555556,0.5263157894736842,0.45679012345679015
640,0.6669629487124357,0.6666666666666666,0.6875,0.6111111111111112,0.6470588235294118,0.6666666666666667
650,0.6506358926946466,0.4722222222222222,0.4666666666666667,0.3888888888888889,0.42424242424242425,0.5061728395061729
660,0.6450474587353793,0.5277777777777778,0.5263157894736842,0.5555555555555556,0.5405405405405406,0.4845679012345679
670,0.6483118425716053,0.5277777777777778,0.5217391304347826,0.6666666666666666,0.5853658536585366,0.45987654320987653
680,0.6416506929831072,0.5,0.5,0.5,0.5,0.5030864197530864
