num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run
2,0.05,32,adam,4,0.5234375,5000
3,0.05,32,adam,4,0.71875,5000
4,0.05,32,adam,4,0.8515625,5000
5,0.05,32,adam,4,0.6640625,5000
6,0.05,32,adam,4,0.5,5000
7,0.05,32,adam,4,0.7265625,5000
8,0.05,32,adam,4,0.5,5000
9,0.05,32,adam,4,0.8515625,5000
10,0.05,32,adam,4,0.546875,5000
11,0.05,32,adam,4,0.640625,5000
12,0.05,32,adam,4,0.6796875,5000
13,0.05,32,adam,4,0.890625,5000
14,0.05,32,adam,4,0.609375,5000
15,0.05,32,adam,4,0.625,5000
16,0.05,32,adam,4,0.640625,5000
17,0.05,32,adam,4,0.84375,5000
18,0.05,32,adam,4,0.6328125,5000
19,0.05,32,adam,4,0.5390625,5000
20,0.05,32,adam,4,0.7265625,5000
