
>>> Config 1/19: run_0_ly2_lr0.05_bs32
    Epoch 100/5000 - Loss: 0.676500
    Epoch 200/5000 - Loss: 0.671989
    Epoch 300/5000 - Loss: 0.675614
    Epoch 400/5000 - Loss: 0.673673
    Epoch 500/5000 - Loss: 0.674040
    Epoch 600/5000 - Loss: 0.672651
    Epoch 700/5000 - Loss: 0.673353
    Epoch 800/5000 - Loss: 0.671678
    Epoch 900/5000 - Loss: 0.671976
    Epoch 1000/5000 - Loss: 0.673117
    Epoch 1100/5000 - Loss: 0.671536
    Epoch 1200/5000 - Loss: 0.673152
    Epoch 1300/5000 - Loss: 0.672250
    Epoch 1400/5000 - Loss: 0.672426
    Epoch 1500/5000 - Loss: 0.672258
    Epoch 1600/5000 - Loss: 0.671876
    Epoch 1700/5000 - Loss: 0.671515
    Epoch 1800/5000 - Loss: 0.671839
    Epoch 1900/5000 - Loss: 0.672187
    Epoch 2000/5000 - Loss: 0.670615
    Epoch 2100/5000 - Loss: 0.670828
    Epoch 2200/5000 - Loss: 0.669913
    Epoch 2300/5000 - Loss: 0.669988
    Epoch 2400/5000 - Loss: 0.670070
    Epoch 2500/5000 - Loss: 0.670093
    Epoch 2600/5000 - Loss: 0.669737
    Epoch 2700/5000 - Loss: 0.669692
    Epoch 2800/5000 - Loss: 0.669510
    Epoch 2900/5000 - Loss: 0.669858
    Epoch 3000/5000 - Loss: 0.669789
    Epoch 3100/5000 - Loss: 0.669846
    Epoch 3200/5000 - Loss: 0.669078
    Epoch 3300/5000 - Loss: 0.668390
    Epoch 3400/5000 - Loss: 0.668756
    Epoch 3500/5000 - Loss: 0.669206
    Epoch 3600/5000 - Loss: 0.668898
    Epoch 3700/5000 - Loss: 0.668568
    Epoch 3800/5000 - Loss: 0.668684
    Epoch 3900/5000 - Loss: 0.668552
    Epoch 4000/5000 - Loss: 0.668406
    Epoch 4100/5000 - Loss: 0.668412
    Epoch 4200/5000 - Loss: 0.667964
    Epoch 4300/5000 - Loss: 0.668188
    Epoch 4400/5000 - Loss: 0.667957
    Epoch 4500/5000 - Loss: 0.667980
    Epoch 4600/5000 - Loss: 0.667901
    Epoch 4700/5000 - Loss: 0.667930
    Epoch 4800/5000 - Loss: 0.667843
    Epoch 4900/5000 - Loss: 0.667823
    Epoch 5000/5000 - Loss: 0.667862

>>> Config 2/19: run_1_ly3_lr0.05_bs32
    Epoch 100/5000 - Loss: 0.602924
    Epoch 200/5000 - Loss: 0.592314
    Epoch 300/5000 - Loss: 0.588371
    Epoch 400/5000 - Loss: 0.589221
    Epoch 500/5000 - Loss: 0.588186
    Epoch 600/5000 - Loss: 0.591716
    Epoch 700/5000 - Loss: 0.594478
    Epoch 800/5000 - Loss: 0.601350
    Epoch 900/5000 - Loss: 0.589659
    Epoch 1000/5000 - Loss: 0.588474
    Epoch 1100/5000 - Loss: 0.595968
    Epoch 1200/5000 - Loss: 0.592967
    Epoch 1300/5000 - Loss: 0.590994
    Epoch 1400/5000 - Loss: 0.591888
    Epoch 1500/5000 - Loss: 0.589693
    Epoch 1600/5000 - Loss: 0.589328
    Epoch 1700/5000 - Loss: 0.590469
    Epoch 1800/5000 - Loss: 0.591076
    Epoch 1900/5000 - Loss: 0.589201
    Epoch 2000/5000 - Loss: 0.591946
    Epoch 2100/5000 - Loss: 0.586258
    Epoch 2200/5000 - Loss: 0.587264
    Epoch 2300/5000 - Loss: 0.586324
    Epoch 2400/5000 - Loss: 0.586271
    Epoch 2500/5000 - Loss: 0.587748
    Epoch 2600/5000 - Loss: 0.585997
    Epoch 2700/5000 - Loss: 0.582868
    Epoch 2800/5000 - Loss: 0.584646
    Epoch 2900/5000 - Loss: 0.584383
    Epoch 3000/5000 - Loss: 0.583168
    Epoch 3100/5000 - Loss: 0.583553
    Epoch 3200/5000 - Loss: 0.582015
    Epoch 3300/5000 - Loss: 0.582277
    Epoch 3400/5000 - Loss: 0.582716
    Epoch 3500/5000 - Loss: 0.581784
    Epoch 3600/5000 - Loss: 0.581316
    Epoch 3700/5000 - Loss: 0.582304
    Epoch 3800/5000 - Loss: 0.581451
    Epoch 3900/5000 - Loss: 0.581045
    Epoch 4000/5000 - Loss: 0.581410
    Epoch 4100/5000 - Loss: 0.579460
    Epoch 4200/5000 - Loss: 0.579888
    Epoch 4300/5000 - Loss: 0.579755
    Epoch 4400/5000 - Loss: 0.579532
    Epoch 4500/5000 - Loss: 0.579391
    Epoch 4600/5000 - Loss: 0.579248
    Epoch 4700/5000 - Loss: 0.579194
    Epoch 4800/5000 - Loss: 0.579076
    Epoch 4900/5000 - Loss: 0.579023
    Epoch 5000/5000 - Loss: 0.579051

>>> Config 3/19: run_2_ly4_lr0.05_bs32
    Epoch 100/5000 - Loss: 0.602297
    Epoch 200/5000 - Loss: 0.487431
    Epoch 300/5000 - Loss: 0.482061
    Epoch 400/5000 - Loss: 0.601090
    Epoch 500/5000 - Loss: 0.466186
    Epoch 600/5000 - Loss: 0.455538
    Epoch 700/5000 - Loss: 0.479423
    Epoch 800/5000 - Loss: 0.498550
    Epoch 900/5000 - Loss: 0.465962
    Epoch 1000/5000 - Loss: 0.487754
    Epoch 1100/5000 - Loss: 0.493995
    Epoch 1200/5000 - Loss: 0.492088
    Epoch 1300/5000 - Loss: 0.467858
    Epoch 1400/5000 - Loss: 0.440703
    Epoch 1500/5000 - Loss: 0.462254
    Epoch 1600/5000 - Loss: 0.507648
    Epoch 1700/5000 - Loss: 0.502782
    Epoch 1800/5000 - Loss: 0.428644
    Epoch 1900/5000 - Loss: 0.466218
    Epoch 2000/5000 - Loss: 0.500795
    Epoch 2100/5000 - Loss: 0.423038
    Epoch 2200/5000 - Loss: 0.474507
    Epoch 2300/5000 - Loss: 0.418389
    Epoch 2400/5000 - Loss: 0.420269
    Epoch 2500/5000 - Loss: 0.414009
    Epoch 2600/5000 - Loss: 0.421181
    Epoch 2700/5000 - Loss: 0.435902
    Epoch 2800/5000 - Loss: 0.460172
    Epoch 2900/5000 - Loss: 0.414364
    Epoch 3000/5000 - Loss: 0.422493
    Epoch 3100/5000 - Loss: 0.457099
    Epoch 3200/5000 - Loss: 0.388532
