
>>> Config 1/19: run_0_ly2_lr0.05_bs32
    Epoch 1500/3000 - Loss: 0.346576
    Epoch 1600/3000 - Loss: 0.346604
    Epoch 1700/3000 - Loss: 0.346579
    Epoch 1800/3000 - Loss: 0.346627
    Epoch 1900/3000 - Loss: 0.346594
    Epoch 2000/3000 - Loss: 0.346579
    Epoch 2100/3000 - Loss: 0.346585
    Epoch 2200/3000 - Loss: 0.346581
    Epoch 2300/3000 - Loss: 0.346589
    Epoch 2400/3000 - Loss: 0.346578
    Epoch 2500/3000 - Loss: 0.346581
    Epoch 2600/3000 - Loss: 0.346575
    Epoch 2700/3000 - Loss: 0.346578
    Epoch 2800/3000 - Loss: 0.346588
    Epoch 2900/3000 - Loss: 0.346581
    Epoch 3000/3000 - Loss: 0.346577

>>> Config 6/19: run_5_ly7_lr0.05_bs32
    Epoch 100/3000 - Loss: 0.404846
    Epoch 200/3000 - Loss: 0.419689
    Epoch 300/3000 - Loss: 0.388889
    Epoch 400/3000 - Loss: 0.366929
    Epoch 500/3000 - Loss: 0.360338
    Epoch 600/3000 - Loss: 0.359297
    Epoch 700/3000 - Loss: 0.354481
    Epoch 800/3000 - Loss: 0.354059
    Epoch 900/3000 - Loss: 0.354684
    Epoch 1000/3000 - Loss: 0.361350
    Epoch 1100/3000 - Loss: 0.353271
    Epoch 1200/3000 - Loss: 0.349927
    Epoch 1300/3000 - Loss: 0.351899
    Epoch 1400/3000 - Loss: 0.353120
    Epoch 1500/3000 - Loss: 0.348963
    Epoch 1600/3000 - Loss: 0.349223
    Epoch 1700/3000 - Loss: 0.348043
    Epoch 1800/3000 - Loss: 0.347543
    Epoch 1900/3000 - Loss: 0.348630
    Epoch 2000/3000 - Loss: 0.348571
    Epoch 2100/3000 - Loss: 0.347842
    Epoch 2200/3000 - Loss: 0.347577
    Epoch 2300/3000 - Loss: 0.347481
    Epoch 2400/3000 - Loss: 0.347539
    Epoch 2500/3000 - Loss: 0.347355
    Epoch 2600/3000 - Loss: 0.347203
